,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
95,15,15.0,0.029013538733124733,1.0,1.0,0.015316607430577278
96,16,16.0,0.03094777651131153,1.0,1.0,0.015316607430577278
97,17,17.0,0.03288201242685318,1.0,1.0,0.015316607430577278
98,18,18.0,0.03481624647974968,1.0,1.0,0.015316607430577278
99,19,19.0,0.03675048425793648,1.0,1.0,0.015316607430577278
100,0,0.0,0.0,1.0,1.0,0.35358166694641113
101,1,1.0,0.03703703731298447,1.0,1.0,0.35358166694641113
102,2,2.0,0.07407407462596893,1.0,1.0,0.35358166694641113
103,3,3.0,0.1111111119389534,1.0,1.0,0.056969091296195984
104,4,4.0,0.14814814925193787,1.0,1.0,0.056969091296195984
105,5,5.0,0.18518517911434174,0.0,0.0,1.837260127067566
106,6,6.0,0.2222222238779068,0.0,0.0,0.886554479598999
107,7,7.0,0.25925925374031067,0.0,0.0,0.886554479598999
108,8,8.0,0.29629629850387573,0.0,0.0,0.886554479598999
109,9,9.0,0.3333333432674408,1.0,1.0,0.5091840028762817
110,10,10.0,0.37037035822868347,1.0,1.0,0.04203353077173233
111,11,11.0,0.40740740299224854,1.0,1.0,0.010434113442897797
112,12,12.0,0.4444444477558136,1.0,1.0,0.010434113442897797
113,13,13.0,0.48148149251937866,1.0,1.0,0.010434113442897797
114,14,14.0,0.5185185074806213,1.0,1.0,0.010434113442897797
115,15,15.0,0.5555555820465088,1.0,1.0,0.010434113442897797
116,16,16.0,0.5925925970077515,1.0,1.0,0.010434113442897797
117,17,17.0,0.6296296119689941,1.0,1.0,0.010434113442897797
118,18,18.0,0.6666666865348816,1.0,1.0,0.010434113442897797
119,19,19.0,0.7037037014961243,1.0,1.0,0.010434113442897797
120,0,0.0,0.0,0.0,0.0,0.6910133361816406
121,1,1.0,0.025641025975346565,0.0,0.0,1.7527542114257812
122,2,2.0,0.05128205195069313,1.0,1.0,0.02263658493757248
123,3,3.0,0.07692307978868484,1.0,1.0,0.02263658493757248
124,4,4.0,0.10256410390138626,1.0,1.0,0.02263658493757248
125,5,5.0,0.12820513546466827,1.0,1.0,0.02263658493757248
126,6,6.0,0.1538461595773697,1.0,1.0,0.02263658493757248
127,7,7.0,0.1794871836900711,1.0,1.0,0.02263658493757248
128,8,8.0,0.20512820780277252,1.0,1.0,0.02263658493757248
129,9,9.0,0.23076923191547394,1.0,1.0,0.02263658493757248
130,10,10.0,0.25641027092933655,1.0,1.0,0.02263658493757248
131,11,11.0,0.28205129504203796,1.0,1.0,0.013943031430244446
132,12,12.0,0.3076923191547394,1.0,1.0,0.013943031430244446
133,13,13.0,0.3333333432674408,0.0,0.0,2.8329005241394043
134,14,14.0,0.3589743673801422,0.0,0.0,2.8329005241394043
135,15,15.0,0.38461539149284363,0.0,0.0,1.4556667804718018
136,16,16.0,0.41025641560554504,0.0,0.0,1.4556667804718018
137,17,17.0,0.43589743971824646,0.0,0.0,1.4556667804718018
138,18,18.0,0.4615384638309479,0.0,0.0,1.4556667804718018
139,19,19.0,0.4871794879436493,0.0,0.0,1.4556667804718018
140,0,0.0,0.0,0.0,0.0,3.1662588119506836
141,1,1.0,0.0026385225355625153,0.0,0.0,3.1662588119506836
142,2,2.0,0.0052770450711250305,0.0,0.0,3.1662588119506836
