,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
62,2,2.0,0.01005025114864111,0.0,0.0,2.1688718795776367
63,3,3.0,0.015075377188622952,0.0,1.0,0.3313497304916382
64,4,4.0,0.02010050229728222,0.0,1.0,0.8683417439460754
65,5,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
66,6,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
67,7,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
68,8,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
69,9,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
70,10,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
71,11,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
72,12,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
73,13,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
74,14,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
75,15,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
76,16,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
77,17,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
78,18,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
79,19,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
80,0,0.0,0.0,0.0,0.0,3.2695152759552
81,1,1.0,0.0019342360319569707,0.0,0.0,2.7325570583343506
82,2,2.0,0.0038684720639139414,0.0,0.0,4.220746040344238
83,3,3.0,0.005802707746624947,0.0,0.0,1.585633635520935
84,4,4.0,0.007736944127827883,1.0,1.0,0.00906989723443985
85,5,5.0,0.009671179577708244,1.0,1.0,0.013469113036990166
86,6,6.0,0.011605415493249893,1.0,1.0,0.015316640958189964
87,7,7.0,0.013539651408791542,1.0,1.0,0.010444918647408485
88,8,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
89,9,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
90,10,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
91,11,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
92,12,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
93,13,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
94,14,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
95,15,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
96,16,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
97,17,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
98,18,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
99,19,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
100,0,0.0,0.0,1.0,1.0,0.35358166694641113
101,1,1.0,0.03703703731298447,1.0,1.0,0.056969232857227325
102,2,2.0,0.07407407462596893,0.0,0.0,2.1998469829559326
103,3,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
104,4,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
105,5,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
106,6,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
107,7,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
108,8,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
109,9,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
110,10,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
111,11,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
112,12,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
113,13,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
114,14,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
115,15,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
116,16,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
117,17,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
118,18,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
119,19,3.0,0.1111111119389534,0.0,0.0,1.235010027885437
120,0,0.0,0.0,0.0,0.0,0.6910139322280884
121,1,1.0,0.025641025975346565,0.0,0.0,1.7527554035186768
122,2,2.0,0.05128205195069313,0.0,0.0,2.947277307510376
123,3,3.0,0.07692307978868484,0.0,0.0,2.6562066078186035
124,4,4.0,0.10256410390138626,0.0,0.0,0.5440633893013
125,5,5.0,0.12820513546466827,1.0,1.0,0.050299860537052155
126,6,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
127,7,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
128,8,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
129,9,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
130,10,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
131,11,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
132,12,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
133,13,6.0,0.1538461595773697,1.0,1.0,0.09265690296888351
