,sparsity,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
104,0.2,0.0,0.0,0.0,1.0,-9.313225746154785e-08
105,0.25,0.0,0.0,0.0,1.0,-9.313225746154785e-08
106,0.30000000000000004,0.0,0.0,0.0,1.0,-9.313225746154785e-08
107,0.35000000000000003,0.0,0.0,0.0,1.0,-9.313225746154785e-08
108,0.4,0.0,0.0,0.0,1.0,-9.313225746154785e-08
109,0.45,0.0,0.0,0.0,1.0,-9.313225746154785e-08
110,0.5,0.0,0.0,0.0,1.0,-9.313225746154785e-08
111,0.55,0.0,0.0,0.0,1.0,-9.313225746154785e-08
112,0.6000000000000001,0.0,0.0,0.0,1.0,-9.313225746154785e-08
113,0.65,0.0,0.0,0.0,1.0,-9.313225746154785e-08
114,0.7000000000000001,0.0,0.0,0.0,1.0,-9.313225746154785e-08
115,0.75,0.0,0.0,0.0,1.0,-9.313225746154785e-08
116,0.8,0.0,0.0,0.0,1.0,-9.313225746154785e-08
117,0.8500000000000001,0.0,0.0,0.0,1.0,-9.313225746154785e-08
118,0.9,0.0,0.0,0.0,1.0,-9.313225746154785e-08
119,0.9500000000000001,0.0,0.0,0.0,1.0,-9.313225746154785e-08
120,0.0,0.0,0.0,,1.0,2.9802322387695312e-08
121,0.05,0.0,0.0,,1.0,2.9802322387695312e-08
122,0.1,0.0,0.0,,1.0,2.9802322387695312e-08
123,0.15000000000000002,0.0,0.0,,1.0,2.9802322387695312e-08
124,0.2,0.0,0.0,,1.0,2.9802322387695312e-08
125,0.25,0.0,0.0,,1.0,2.9802322387695312e-08
126,0.30000000000000004,0.0,0.0,,1.0,2.9802322387695312e-08
127,0.35000000000000003,0.0,0.0,,1.0,2.9802322387695312e-08
128,0.4,0.0,0.0,,1.0,2.9802322387695312e-08
129,0.45,0.0,0.0,,1.0,2.9802322387695312e-08
130,0.5,0.0,0.0,,1.0,2.9802322387695312e-08
131,0.55,0.0,0.0,,1.0,2.9802322387695312e-08
132,0.6000000000000001,0.0,0.0,,1.0,2.9802322387695312e-08
133,0.65,0.0,0.0,,1.0,2.9802322387695312e-08
134,0.7000000000000001,0.0,0.0,,1.0,2.9802322387695312e-08
135,0.75,0.0,0.0,,1.0,2.9802322387695312e-08
136,0.8,0.0,0.0,,1.0,2.9802322387695312e-08
137,0.8500000000000001,0.0,0.0,,1.0,2.9802322387695312e-08
138,0.9,0.0,0.0,,1.0,2.9802322387695312e-08
139,0.9500000000000001,0.0,0.0,,1.0,2.9802322387695312e-08
140,0.0,0.0,0.0,,1.0,5.960464477539063e-08
141,0.05,0.0,0.0,,1.0,5.960464477539063e-08
142,0.1,0.0,0.0,,1.0,5.960464477539063e-08
143,0.15000000000000002,0.0,0.0,,1.0,5.960464477539063e-08
144,0.2,0.0,0.0,,1.0,5.960464477539063e-08
145,0.25,0.0,0.0,,1.0,5.960464477539063e-08
146,0.30000000000000004,0.0,0.0,,1.0,5.960464477539063e-08
147,0.35000000000000003,0.0,0.0,,1.0,5.960464477539063e-08
148,0.4,0.0,0.0,,1.0,5.960464477539063e-08
149,0.45,0.0,0.0,,1.0,5.960464477539063e-08
150,0.5,0.0,0.0,,1.0,5.960464477539063e-08
151,0.55,0.0,0.0,,1.0,5.960464477539063e-08
152,0.6000000000000001,0.0,0.0,,1.0,5.960464477539063e-08
153,0.65,0.0,0.0,,1.0,5.960464477539063e-08
154,0.7000000000000001,0.0,0.0,,1.0,5.960464477539063e-08
155,0.75,0.0,0.0,,1.0,5.960464477539063e-08
156,0.8,0.0,0.0,,1.0,5.960464477539063e-08
157,0.8500000000000001,0.0,0.0,,1.0,5.960464477539063e-08
158,0.9,0.0,0.0,,1.0,5.960464477539063e-08
159,0.9500000000000001,0.0,0.0,,1.0,5.960464477539063e-08
160,0.0,0.0,0.0,0.0,1.0,2.9802322387695312e-08
161,0.05,0.0,0.0,0.0,1.0,2.9802322387695312e-08
162,0.1,0.0,0.0,0.0,1.0,2.9802322387695312e-08
163,0.15000000000000002,0.0,0.0,0.0,1.0,2.9802322387695312e-08
164,0.2,0.0,0.0,0.0,1.0,2.9802322387695312e-08
165,0.25,0.0,0.0,0.0,1.0,2.9802322387695312e-08
166,0.30000000000000004,0.0,0.0,0.0,1.0,2.9802322387695312e-08
167,0.35000000000000003,0.0,0.0,0.0,1.0,2.9802322387695312e-08
168,0.4,0.0,0.0,0.0,1.0,2.9802322387695312e-08
169,0.45,0.0,0.0,0.0,1.0,2.9802322387695312e-08
170,0.5,0.0,0.0,0.0,1.0,2.9802322387695312e-08
171,0.55,0.0,0.0,0.0,1.0,2.9802322387695312e-08
172,0.6000000000000001,0.0,0.0,0.0,1.0,2.9802322387695312e-08
173,0.65,0.0,0.0,0.0,1.0,2.9802322387695312e-08
174,0.7000000000000001,0.0,0.0,0.0,1.0,2.9802322387695312e-08
175,0.75,0.0,0.0,0.0,1.0,2.9802322387695312e-08
176,0.8,0.0,0.0,0.0,1.0,2.9802322387695312e-08
177,0.8500000000000001,0.0,0.0,0.0,1.0,2.9802322387695312e-08
178,0.9,0.0,0.0,0.0,1.0,2.9802322387695312e-08
179,0.9500000000000001,0.0,0.0,0.0,1.0,2.9802322387695312e-08
180,0.0,0.0,0.0,0.0,1.0,-2.60770320892334e-08
181,0.05,0.0,0.0,0.0,1.0,-2.60770320892334e-08
182,0.1,0.0,0.0,0.0,1.0,-2.60770320892334e-08
183,0.15000000000000002,0.0,0.0,0.0,1.0,-2.60770320892334e-08
184,0.2,0.0,0.0,0.0,1.0,-2.60770320892334e-08
185,0.25,0.0,0.0,0.0,1.0,-2.60770320892334e-08
186,0.30000000000000004,0.0,0.0,0.0,1.0,-2.60770320892334e-08
187,0.35000000000000003,0.0,0.0,0.0,1.0,-2.60770320892334e-08
188,0.4,0.0,0.0,0.0,1.0,-2.60770320892334e-08
189,0.45,0.0,0.0,0.0,1.0,-2.60770320892334e-08
