,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
165,5,5.0,0.4545454680919647,0.0,0.0,3.3130509853363037
166,6,6.0,0.5454545617103577,1.0,1.0,0.525233268737793
167,7,7.0,0.6363636255264282,1.0,1.0,0.003102608025074005
168,8,8.0,0.7272727489471436,1.0,1.0,1.3399869203567505e-05
169,9,9.0,0.8181818127632141,1.0,1.0,2.0388513803482056e-05
170,10,9.0,0.8181818127632141,1.0,1.0,2.0388513803482056e-05
171,11,11.0,1.0,1.0,1.0,3.725290298461914e-09
172,12,11.0,1.0,1.0,1.0,3.725290298461914e-09
173,13,11.0,1.0,1.0,1.0,3.725290298461914e-09
174,14,11.0,1.0,1.0,1.0,3.725290298461914e-09
175,15,11.0,1.0,1.0,1.0,3.725290298461914e-09
176,16,11.0,1.0,1.0,1.0,3.725290298461914e-09
177,17,11.0,1.0,1.0,1.0,3.725290298461914e-09
178,18,11.0,1.0,1.0,1.0,3.725290298461914e-09
179,19,11.0,1.0,1.0,1.0,3.725290298461914e-09
180,0,0.0,0.0,0.0,0.0,4.231142044067383
181,1,1.0,0.1111111119389534,0.0,0.0,4.395471096038818
182,2,2.0,0.2222222238779068,0.0,0.0,4.271275997161865
183,3,3.0,0.3333333432674408,0.0,0.0,3.372614860534668
184,4,4.0,0.4444444477558136,0.0,0.0,2.1718156337738037
185,5,5.0,0.5555555820465088,1.0,1.0,0.0165693461894989
186,6,6.0,0.6666666865348816,1.0,1.0,0.1683027595281601
187,7,7.0,0.7777777910232544,1.0,1.0,0.0009056348353624344
188,8,8.0,0.8888888955116272,1.0,1.0,2.277083694934845e-07
189,9,9.0,1.0,1.0,1.0,0.0
190,10,9.0,1.0,1.0,1.0,0.0
191,11,9.0,1.0,1.0,1.0,0.0
192,12,9.0,1.0,1.0,1.0,0.0
193,13,9.0,1.0,1.0,1.0,0.0
194,14,9.0,1.0,1.0,1.0,0.0
195,15,9.0,1.0,1.0,1.0,0.0
196,16,9.0,1.0,1.0,1.0,0.0
197,17,9.0,1.0,1.0,1.0,0.0
198,18,9.0,1.0,1.0,1.0,0.0
199,19,9.0,1.0,1.0,1.0,0.0
200,0,0.0,0.0,0.0,0.0,4.039405345916748
201,1,0.0,0.0,0.0,0.0,4.039405345916748
202,2,2.0,0.20000000298023224,0.0,0.0,3.633390188217163
203,3,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
204,4,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
205,5,5.0,0.5,0.0,0.0,3.3131802082061768
206,6,5.0,0.5,0.0,0.0,3.3131802082061768
207,7,7.0,0.699999988079071,1.0,1.0,0.00013864971697330475
208,8,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
209,9,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
210,10,10.0,1.0,1.0,1.0,1.862645149230957e-08
211,11,10.0,1.0,1.0,1.0,1.862645149230957e-08
212,12,10.0,1.0,1.0,1.0,1.862645149230957e-08
213,13,10.0,1.0,1.0,1.0,1.862645149230957e-08
214,14,10.0,1.0,1.0,1.0,1.862645149230957e-08
215,15,10.0,1.0,1.0,1.0,1.862645149230957e-08
216,16,10.0,1.0,1.0,1.0,1.862645149230957e-08
217,17,10.0,1.0,1.0,1.0,1.862645149230957e-08
218,18,10.0,1.0,1.0,1.0,1.862645149230957e-08
219,19,10.0,1.0,1.0,1.0,1.862645149230957e-08
220,0,0.0,0.0,0.0,0.0,4.2311601638793945
221,1,1.0,0.1111111119389534,0.0,0.0,4.39548921585083
222,2,2.0,0.2222222238779068,0.0,0.0,3.815354347229004
223,3,3.0,0.3333333432674408,0.0,0.0,3.3726308345794678
224,4,4.0,0.4444444477558136,0.0,0.0,2.1718292236328125
225,5,5.0,0.5555555820465088,0.0,0.0,2.134213924407959
226,6,6.0,0.6666666865348816,0.0,0.0,2.14422869682312
227,7,7.0,0.7777777910232544,1.0,1.0,0.0009065242484211922
228,8,8.0,0.8888888955116272,1.0,1.0,1.471489667892456e-07
229,9,9.0,1.0,1.0,1.0,2.6542693376541138e-08
230,10,9.0,1.0,1.0,1.0,2.6542693376541138e-08
231,11,9.0,1.0,1.0,1.0,2.6542693376541138e-08
232,12,9.0,1.0,1.0,1.0,2.6542693376541138e-08
233,13,9.0,1.0,1.0,1.0,2.6542693376541138e-08
234,14,9.0,1.0,1.0,1.0,2.6542693376541138e-08
235,15,9.0,1.0,1.0,1.0,2.6542693376541138e-08
236,16,9.0,1.0,1.0,1.0,2.6542693376541138e-08
237,17,9.0,1.0,1.0,1.0,2.6542693376541138e-08
238,18,9.0,1.0,1.0,1.0,2.6542693376541138e-08
239,19,9.0,1.0,1.0,1.0,2.6542693376541138e-08
240,0,0.0,0.0,0.0,0.0,4.2311601638793945
241,1,1.0,0.1111111119389534,0.0,0.0,4.39548921585083
242,2,2.0,0.2222222238779068,0.0,0.0,3.815354347229004
243,3,3.0,0.3333333432674408,0.0,0.0,3.3726305961608887
244,4,4.0,0.4444444477558136,0.0,0.0,2.1718292236328125
245,5,5.0,0.5555555820465088,0.0,0.0,2.134213924407959
246,6,6.0,0.6666666865348816,0.0,0.0,2.144228935241699
247,7,7.0,0.7777777910232544,1.0,1.0,0.0009065279737114906
248,8,8.0,0.8888888955116272,1.0,1.0,1.3969838619232178e-07
249,9,9.0,1.0,1.0,1.0,2.6542693376541138e-08
250,10,9.0,1.0,1.0,1.0,2.6542693376541138e-08
251,11,9.0,1.0,1.0,1.0,2.6542693376541138e-08
252,12,9.0,1.0,1.0,1.0,2.6542693376541138e-08
253,13,9.0,1.0,1.0,1.0,2.6542693376541138e-08
254,14,9.0,1.0,1.0,1.0,2.6542693376541138e-08
255,15,9.0,1.0,1.0,1.0,2.6542693376541138e-08
256,16,9.0,1.0,1.0,1.0,2.6542693376541138e-08
257,17,9.0,1.0,1.0,1.0,2.6542693376541138e-08
258,18,9.0,1.0,1.0,1.0,2.6542693376541138e-08
259,19,9.0,1.0,1.0,1.0,2.6542693376541138e-08
260,0,0.0,0.0,0.0,1.0,0.12282498180866241
261,1,0.0,0.0,0.0,1.0,0.12282498180866241
262,2,2.0,0.20000000298023224,0.0,1.0,0.08629587292671204
263,3,2.0,0.20000000298023224,0.0,1.0,0.08629587292671204
264,4,4.0,0.4000000059604645,0.0,1.0,0.00014328956604003906
265,5,4.0,0.4000000059604645,0.0,1.0,0.00014328956604003906
266,6,6.0,0.6000000238418579,0.0,1.0,6.854534149169922e-07
267,7,6.0,0.6000000238418579,0.0,1.0,6.854534149169922e-07
268,8,8.0,0.800000011920929,0.0,1.0,3.5241246223449707e-06
269,9,8.0,0.800000011920929,0.0,1.0,3.5241246223449707e-06
270,10,10.0,1.0,0.0,1.0,-7.450580596923828e-09
271,11,10.0,1.0,0.0,1.0,-7.450580596923828e-09
272,12,10.0,1.0,0.0,1.0,-7.450580596923828e-09
273,13,10.0,1.0,0.0,1.0,-7.450580596923828e-09
274,14,10.0,1.0,0.0,1.0,-7.450580596923828e-09
