,graph_idx,dim,info
162,763,2,0.03849690034985542
163,763,3,0.009634899906814098
164,763,4,0.011289169080555439
165,763,5,0.011828579008579254
166,763,6,0.008276128210127354
167,763,7,0.015419119969010353
168,763,8,0.012754184193909168
169,763,9,0.008499030955135822
170,763,10,0.013398298062384129
171,763,11,0.010928424075245857
172,763,12,0.009825179353356361
173,763,13,0.02074284292757511
174,763,14,0.02295752987265587
175,763,15,0.01744062453508377
176,767,0,0.7351735234260559
177,767,1,0.06111405789852142
178,767,2,0.06150835007429123
179,767,3,0.004519889131188393
180,767,4,0.014322116039693356
181,767,5,0.009202779270708561
182,767,6,0.013394981622695923
183,767,7,0.013866136781871319
184,767,8,0.011104403994977474
185,767,9,0.012192852795124054
186,767,10,0.009477490559220314
187,767,11,0.010441582649946213
188,767,12,0.015195012092590332
189,767,13,0.009722553193569183
190,767,14,0.010751282796263695
191,767,15,0.008013016544282436
192,768,0,0.7059914469718933
193,768,1,0.0458589643239975
194,768,2,0.10769346356391907
195,768,3,0.011135853826999664
196,768,4,0.011443806812167168
197,768,5,0.011036474257707596
198,768,6,0.012644180096685886
199,768,7,0.01109076477587223
200,768,8,0.00788992177695036
201,768,9,0.012985720299184322
202,768,10,0.008374396711587906
203,768,11,0.009392114356160164
204,768,12,0.009479991160333157
205,768,13,0.01441966649144888
206,768,14,0.011061319150030613
207,768,15,0.009501921944320202
208,770,0,0.5945550799369812
209,770,1,0.11168103665113449
210,770,2,0.12976035475730896
211,770,3,0.014374960213899612
212,770,4,0.01362098753452301
213,770,5,0.007813364267349243
214,770,6,0.010966073721647263
215,770,7,0.009533817879855633
216,770,8,0.014079484157264233
217,770,9,0.01344632264226675
218,770,10,0.016520433127880096
219,770,11,0.010532321408390999
220,770,12,0.009600773453712463
221,770,13,0.013146480545401573
222,770,14,0.01410713978111744
223,770,15,0.016261346638202667
224,771,0,0.6334090232849121
225,771,1,0.09119554609060287
226,771,2,0.09591006487607956
227,771,3,0.017939824610948563
228,771,4,0.012016292661428452
229,771,5,0.019650228321552277
230,771,6,0.012220106087625027
231,771,7,0.011769755743443966
232,771,8,0.010637501254677773
233,771,9,0.014815488830208778
234,771,10,0.014182964339852333
235,771,11,0.013875025324523449
236,771,12,0.015910014510154724
237,771,13,0.01055556908249855
238,771,14,0.012200871482491493
239,771,15,0.013711716048419476
240,777,0,0.7823009490966797
241,777,1,0.026553882285952568
242,777,2,0.05217839777469635
243,777,3,0.010748381726443768
244,777,4,0.007361967116594315
245,777,5,0.018492233008146286
246,777,6,0.010410046204924583
247,777,7,0.0072898720391094685
248,777,8,0.011954912915825844
249,777,9,0.01110535953193903
250,777,10,0.009585543535649776
251,777,11,0.010009373538196087
252,777,12,0.012028172612190247
253,777,13,0.010941945016384125
254,777,14,0.010452283546328545
255,777,15,0.008586703799664974
256,778,0,0.7838607430458069
257,778,1,0.06080641597509384
258,778,2,0.03496912494301796
259,778,3,0.01684899441897869
260,778,4,0.008214622735977173
261,778,5,0.011170413345098495
262,778,6,0.006672640796750784
263,778,7,0.006488211918622255
264,778,8,0.011644099839031696
265,778,9,0.006928695365786552
266,778,10,0.008016563951969147
267,778,11,0.005137183703482151
268,778,12,0.008558831177651882
269,778,13,0.012628445401787758
270,778,14,0.009586963802576065
271,778,15,0.008468067273497581
272,779,0,0.6596101522445679
273,779,1,0.10943234711885452
274,779,2,0.061578672379255295
275,779,3,0.014968940056860447
276,779,4,0.008567128330469131
277,779,5,0.008108341135084629
278,779,6,0.011887256987392902
279,779,7,0.010293484665453434
280,779,8,0.014204295352101326
281,779,9,0.018425963819026947
282,779,10,0.01397516019642353
283,779,11,0.009559356607496738
284,779,12,0.011831913143396378
285,779,13,0.015104628168046474
286,779,14,0.01738218404352665
287,779,15,0.015070145949721336
288,786,0,0.6815738081932068
289,786,1,0.06966596841812134
290,786,2,0.073079913854599
291,786,3,0.016393084079027176
292,786,4,0.013972243294119835
293,786,5,0.010201694443821907
294,786,6,0.01017896831035614
295,786,7,0.015377062372863293
296,786,8,0.013352782465517521
297,786,9,0.01181217934936285
298,786,10,0.009416526183485985
299,786,11,0.01607227511703968
300,786,12,0.009222411550581455
301,786,13,0.0185181125998497
302,786,14,0.011022276245057583
303,786,15,0.020140718668699265
304,788,0,0.7814687490463257
305,788,1,0.06257013231515884
306,788,2,0.03824729472398758
307,788,3,0.009758681058883667
308,788,4,0.008717118762433529
309,788,5,0.008046599105000496
310,788,6,0.01033709105104208
311,788,7,0.008207910694181919
312,788,8,0.01259959489107132
313,788,9,0.005407738499343395
